[Wed May 13 21:20:14.126539 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP Fatal error:  App\\Models\\AccountModelLocator cannot use App\\Models\\AccountGoogleYoutubeModel - it is not a trait in /Users/me/Sites/ytuber-ci4.local/app/Models/AccountModelLocator.php on line 15
[Wed May 13 21:20:14.127193 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP Stack trace:
[Wed May 13 21:20:14.127249 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP   1. {main}() /Users/me/Sites/ytuber-ci4.local/public/index.php:0
[Wed May 13 21:20:14.127283 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP   2. CodeIgniter\\CodeIgniter->run() /Users/me/Sites/ytuber-ci4.local/public/index.php:45
[Wed May 13 21:20:14.127313 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP   3. CodeIgniter\\CodeIgniter->handleRequest() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:308
[Wed May 13 21:20:14.127342 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP   4. CodeIgniter\\CodeIgniter->runController() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:400
[Wed May 13 21:20:14.127370 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP   5. App\\Controllers\\Tasks->test() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:914
[Wed May 13 21:20:14.127399 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP   6. App\\Entities\\Account->getAccountData() /Users/me/Sites/ytuber-ci4.local/app/Controllers/Tasks.php:21
[Wed May 13 21:20:14.127427 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP   7. spl_autoload_call() /Users/me/Sites/ytuber-ci4.local/app/Entities/Account.php:56
[Wed May 13 21:20:14.127455 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP   8. CodeIgniter\\Autoloader\\Autoloader->loadClass() /Users/me/Sites/ytuber-ci4.local/app/Entities/Account.php:56
[Wed May 13 21:20:14.127484 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP   9. CodeIgniter\\Autoloader\\Autoloader->loadInNamespace() /Users/me/Sites/ytuber-ci4.local/system/Autoloader/Autoloader.php:258
[Wed May 13 21:20:14.127512 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP  10. CodeIgniter\\Autoloader\\Autoloader->requireFile() /Users/me/Sites/ytuber-ci4.local/system/Autoloader/Autoloader.php:296
[Wed May 13 21:20:14.127540 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59921] PHP  11. require_once() /Users/me/Sites/ytuber-ci4.local/system/Autoloader/Autoloader.php:365
[Wed May 13 21:26:11.704692 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP Fatal error:  Class 'App\\Entities\\AccountsGoogleYoutube' not found in /Users/me/Sites/ytuber-ci4.local/system/Database/MySQLi/Result.php on line 169
[Wed May 13 21:26:11.710577 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP Stack trace:
[Wed May 13 21:26:11.710653 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP   1. {main}() /Users/me/Sites/ytuber-ci4.local/public/index.php:0
[Wed May 13 21:26:11.710702 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP   2. CodeIgniter\\CodeIgniter->run() /Users/me/Sites/ytuber-ci4.local/public/index.php:45
[Wed May 13 21:26:11.710747 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP   3. CodeIgniter\\CodeIgniter->handleRequest() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:308
[Wed May 13 21:26:11.710791 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP   4. CodeIgniter\\CodeIgniter->runController() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:400
[Wed May 13 21:26:11.710834 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP   5. App\\Controllers\\Tasks->test() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:914
[Wed May 13 21:26:11.710878 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP   6. App\\Entities\\Account->getAccountData() /Users/me/Sites/ytuber-ci4.local/app/Controllers/Tasks.php:21
[Wed May 13 21:26:11.710921 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP   7. App\\Models\\AccountGoogleYoutubeModel->find() /Users/me/Sites/ytuber-ci4.local/app/Entities/Account.php:57
[Wed May 13 21:26:11.710964 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP   8. CodeIgniter\\Database\\MySQLi\\Result->getFirstRow() /Users/me/Sites/ytuber-ci4.local/system/Model.php:383
[Wed May 13 21:26:11.711007 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP   9. CodeIgniter\\Database\\MySQLi\\Result->getResult() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:468
[Wed May 13 21:26:11.711050 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP  10. CodeIgniter\\Database\\MySQLi\\Result->getCustomResultObject() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:142
[Wed May 13 21:26:11.711092 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP  11. CodeIgniter\\Database\\MySQLi\\Result->fetchObject() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:195
[Wed May 13 21:26:11.711135 2020] [php7:notice] [pid 442] [client 127.0.0.1:59975] PHP  12. mysqli_result->fetch_object() /Users/me/Sites/ytuber-ci4.local/system/Database/MySQLi/Result.php:169
[Wed May 13 21:26:46.039672 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP Fatal error:  Class 'App\\Entities\\AccountsGoogleYoutube' not found in /Users/me/Sites/ytuber-ci4.local/system/Database/MySQLi/Result.php on line 169
[Wed May 13 21:26:46.039823 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP Stack trace:
[Wed May 13 21:26:46.039858 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP   1. {main}() /Users/me/Sites/ytuber-ci4.local/public/index.php:0
[Wed May 13 21:26:46.039891 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP   2. CodeIgniter\\CodeIgniter->run() /Users/me/Sites/ytuber-ci4.local/public/index.php:45
